iter	F1	Logloss
0	0.6308411215	0.6210637246
1	0.6591422122	0.5703334803
2	0.6767241379	0.5296531885
3	0.6681415929	0.4958543811
4	0.6739606127	0.4705681038
5	0.6725274725	0.4483184717
6	0.6725663717	0.4270601413
7	0.6769911504	0.4107132608
8	0.6784922395	0.4014701299
9	0.6769911504	0.3912901957
10	0.6726057906	0.3853534073
11	0.6813186813	0.377337117
12	0.6870897155	0.3686842643
13	0.6899563319	0.3628291148
14	0.6899563319	0.3590463738
15	0.6870897155	0.3545521705
16	0.6870897155	0.3519692597
17	0.6870897155	0.3490590774
18	0.6901098901	0.3462938456
19	0.6945054945	0.3415688764
20	0.6973684211	0.3393610014
21	0.7004405286	0.3366040345
22	0.6989010989	0.3340250389
23	0.6960352423	0.3326804691
24	0.6960352423	0.3312177825
25	0.6975717439	0.3289011558
26	0.6975717439	0.325607691
27	0.6960352423	0.3249301274
28	0.6960352423	0.3237574059
29	0.6973684211	0.3221937937
30	0.6989010989	0.3199218484
31	0.703539823	0.3181455868
32	0.7050997783	0.3162413593
33	0.7050997783	0.3143926668
34	0.7079646018	0.3115243759
35	0.7079646018	0.3104984624
36	0.7079646018	0.3075681257
37	0.7079646018	0.3063992663
38	0.7079646018	0.3051059303
39	0.7095343681	0.3037692939
40	0.7095343681	0.3029464792
41	0.7079646018	0.3009674077
42	0.7095343681	0.2991607021
43	0.7095343681	0.297974377
44	0.7095343681	0.2955236795
45	0.7095343681	0.2941710742
46	0.7095343681	0.2930703914
47	0.7095343681	0.2914975697
48	0.7095343681	0.288597268
49	0.7095343681	0.2870234302
50	0.7095343681	0.2861592221
51	0.7095343681	0.2852879562
52	0.7123893805	0.2834332331
53	0.7123893805	0.281839875
54	0.7123893805	0.280299704
55	0.7123893805	0.2782986542
56	0.7123893805	0.2771415667
57	0.7152317881	0.2760135429
58	0.7152317881	0.274343483
59	0.7152317881	0.271919092
60	0.7152317881	0.271102983
61	0.7123893805	0.2691748663
62	0.7152317881	0.2681473373
63	0.7123893805	0.2662063202
64	0.7152317881	0.2643631398
65	0.7152317881	0.2635436929
66	0.718061674	0.2629606375
67	0.718061674	0.2613663806
68	0.7208791209	0.2608378607
69	0.7208791209	0.2587771373
70	0.718061674	0.2577549387
71	0.7208791209	0.2563056482
72	0.7208791209	0.2555689768
73	0.7236842105	0.2550341178
74	0.7264770241	0.2539282064
75	0.7264770241	0.2529893542
76	0.7264770241	0.2516220101
77	0.7292576419	0.2501923422
78	0.7292576419	0.2492596923
79	0.7264770241	0.2483797926
80	0.7264770241	0.2470094832
81	0.7264770241	0.245401264
82	0.7292576419	0.2442852828
83	0.7264770241	0.2432007033
84	0.7292576419	0.2424012709
85	0.7292576419	0.2408076374
86	0.7292576419	0.240040108
87	0.7347826087	0.2387331444
88	0.7402597403	0.2376716801
89	0.7429805616	0.2365498915
90	0.7456896552	0.2360985613
91	0.7456896552	0.2355159121
92	0.7429805616	0.2348446975
93	0.7483870968	0.2338534135
94	0.7510729614	0.232890375
95	0.7537473233	0.2316227536
