iter	Passed	Remaining
0	149	149226
1	157	78681
2	160	53446
3	164	40849
4	166	33182
5	175	29102
6	179	25509
7	191	23694
8	194	21369
9	196	19487
10	206	18611
11	210	17298
12	212	16134
13	222	15646
14	225	14778
15	228	14045
16	235	13638
17	238	13023
18	241	12463
19	243	11945
20	253	11823
21	257	11425
22	259	11023
23	261	10646
24	268	10475
25	271	10161
26	273	9859
27	276	9582
28	283	9494
29	286	9261
30	289	9040
31	291	8817
32	296	8696
33	300	8523
34	302	8352
35	305	8178
36	307	8012
37	315	7994
38	318	7844
39	320	7703
40	323	7565
41	331	7567
42	334	7440
43	337	7327
44	339	7208
45	348	7224
46	351	7120
47	353	7015
48	356	6909
49	364	6930
50	367	6831
51	369	6735
52	372	6663
53	379	6642
54	382	6568
55	384	6484
56	387	6405
57	395	6415
58	398	6358
59	401	6283
60	403	6212
61	413	6249
62	415	6186
63	418	6121
64	424	6102
65	427	6046
66	429	5985
67	432	5923
68	434	5863
69	443	5888
70	445	5835
71	449	5790
72	452	5743
73	459	5748
74	461	5694
75	464	5649
76	467	5602
77	474	5608
78	477	5569
79	480	5522
80	482	5474
81	485	5440
82	488	5400
83	491	5355
84	493	5312
85	495	5270
86	498	5227
87	503	5214
88	506	5186
89	509	5147
90	511	5108
91	513	5070
92	516	5033
93	518	4998
94	521	4969
95	523	4933
96	526	4898
97	528	4864
98	533	4852
99	536	4827
100	538	4795
101	541	4766
102	543	4735
103	546	4706
104	550	4690
105	552	4663
106	555	4634
107	557	4606
108	560	4582
109	566	4583
110	569	4558
111	571	4531
112	573	4504
113	576	4477
114	581	4478
115	586	4469
116	590	4453
117	598	4472
118	601	4454
119	604	4436
120	607	4415
121	613	4415
122	616	4397
123	619	4376
124	623	4365
125	629	4368
126	632	4347
127	636	4335
128	639	4316
129	645	4321
130	648	4302
131	651	4283
132	655	4271
133	659	4262
134	663	4253
135	666	4233
136	668	4213
137	671	4192
138	674	4179
139	677	4160
140	679	4140
141	682	4123
142	684	4104
143	687	4084
144	691	4075
145	694	4063
146	697	4044
147	699	4025
148	701	4006
149	703	3989
150	707	3976
151	709	3959
152	712	3942
153	714	3925
154	716	3907
155	719	3890
156	725	3895
157	728	3879
158	730	3863
159	732	3847
160	735	3831
161	738	3820
162	741	3808
163	743	3791
164	746	3776
165	748	3760
166	751	3746
